id,caption,commentsCount,firstComment,hashtags/0,hashtags/1,hashtags/2,inputUrl,likesCount,musicInfo/artist_name,musicInfo/audio_id,musicInfo/song_name,musicInfo/uses_original_audio,ownerFullName,ownerId,ownerUsername,paidPartnership,timestamp,url,videoDuration,videoPlayCount,videoViewCount,Label
3519943002921945392,"Sent my brother into a digital detox… let’s see what happens next 👀💥🤳

デジタルデトックスって知ってる？💥
#つづく",27,I love this robot 😍,つづく,,,https://www.instagram.com/reel/DDZWYL-yMkw/,-1,imma.gram,557016613886445.0,Original audio,True,imma,8192084717,imma.gram,,2024-12-10T11:34:44.000Z,https://www.instagram.com/p/DDZWYL-yMkw/,41.332,44047.0,15372,voice
3428624803165649391,"Can a virtual human interview @steveaoki ???
I was too nervous 😫
What should I ask next when I see him???

@steveaoki 先生のライブ前に
人生初！のインタビューを挑んでみたっ
けど緊張しすぎてガチガチ笑🙈💦",16,Hol up....did she actually dissapear mid conversation?,,,,https://www.instagram.com/reel/C-U7BfEyDnv/,-1,imma.gram,1206796437121700.0,Original audio,True,imma,8192084717,imma.gram,,2024-08-06T11:35:53.000Z,https://www.instagram.com/p/C-U7BfEyDnv/,34.166,142297.0,64228,voice
3274920568738591510,"Happy New Year 2024 🎉
あけましておめでとうございます！
お風呂からご挨拶を失礼します〜 🚿🫧🧠

カメラの前で話すの、全然慣れてなくて、
これ出来上がるまで何回もトライして苦戦しててもーダメだーって思った時、
思いついたんです。

リラックスできる場所で撮影すれば普通に喋れるかもって笑
そしたらなんとか撮れました🎉
今年も皆さん、よろしくお願いします！

あと、実はこの数日間、能登半島の災害支援をお手伝いする機会があり、
そのため新年から少し遅めの投稿になりました。
とても近いお友達とご家族が被災してしまい、
私と会社マネジメントチームで現地団体と連携し、できる限りの物資提供をしていました。
伝えたい想いはたくさんありますので、後日また報告させていただにます。

しかし何よりも、皆さんの無事と一日も早く日常が戻ります様、心よりお祈り申し上げます。

2024年もみんなと一緒に過ごせることが楽しみです。☺️

Happy New Year 2024 🎉
Excuse my greeting from the bath 🚿🫧🧠

So, here's the deal: I'm not used to speaking in front of the camera. I mean, seriously, I thought this video was doomed after countless tries, but then it hit me. Maybe I can speak normally if I shoot in a place where I feel relaxed??? and voila! Managed to pull it off 🎉
Thank you all for your support this year!

Also, in the past few days, I had the opportunity to assist with earthquake disaster relief in Japan's Noto Peninsula, which is why this post is a bit delayed from the new year. Some very close friends and their families were affected, and our company's team worked with local organizations to provide as much assistance as possible. There are many thoughts and feelings I want to convey, so I will post about this on another day.

But above all, I pray from the bottom of my heart for everyone's safety and for the return of the mundane as soon as possible.

Super stoked to hang out with all of you in 2024! ☺️

#2024 #tokyo #noto #東京 #あけましておめでとう",76,Tutorial on how to make a video like this 😍😍😍,2024,tokyo,noto,https://www.instagram.com/reel/C1y2ufvSLMW/,-1,imma.gram,362608233047317.0,Original audio,True,imma,8192084717,imma.gram,,2024-01-07T09:50:51.000Z,https://www.instagram.com/p/C1y2ufvSLMW/,23.366,174689.0,50333,voice+music
3519199438395035608,"それでは〜、いやさかり！
ってことで、 心友である @ozworld_official のLIVE『UTAGE2.5』の案内人をあたくしが😎🐉🧠⚡️

楽しかった〜🐉

“Yasakari~!

For @ozworld_official live I had the honor of being the guide for his live show ‘UTAGE 2.5’ right before the show!😎🐉🧠⚡️

It was so much fun! 🐉

#いやさかり #すい",14,❤️❤️,いやさかり,すい,,https://www.instagram.com/reel/DDWtT5jSk_Y/,-1,imma.gram,1325052505199170.0,Original audio,True,imma,8192084717,imma.gram,,2024-12-09T11:34:58.000Z,https://www.instagram.com/p/DDWtT5jSk_Y/,49.458,65132.0,12985,voice
3509845932714268911,"hi humans!🧠

ご存知の方もいると思いますが、今回abemaで新しく始まるハッシュタグハウスにゲームマスターとして参加させていただいておりますっ🧠⚡🏠

ゲームマスターって何？
って思うよね？
そう思った人は是非見てみてっ☺️

あたしもいろいろ初めてのことだったけど、ゲームマスターとして裏で見させてもらって、わぁインフルエンサーの裏側ってこんなにも大変でいろいろ考えてるんだって、本当に勉強にもなったし、感動もしたし、人間ドラマって楽しいなって思いました🥺

壮絶な戦い、ドラマを是非見てくださいっ🧠

Hi humans! 🧠
Some of you might already know? but I'm excited to announce that I'll be a game master in the new reality TV show HASHTAG HOUSE on Abema, a streaming platform in Japan! 🧠⚡🏠
What’s a game master... you ask?
You gotta watch it to find out ☺️
It’s all new to me too, but getting to observe from behind the scenes as a game master, I realized just how tough and thought-provoking the behind-the-scenes of being an influencer can be. It was really educational and inspiring. and I find out...human drama is pretty...fun!! 🥺
Don’t miss the INTENSE human drama, go watch it! 🧠",60,Hello virtual human 👋,,,,https://www.instagram.com/reel/DC1ekejyJjv/,-1,imma.gram,1196377961903398.0,Original audio,True,imma,8192084717,imma.gram,,2024-11-26T13:06:13.000Z,https://www.instagram.com/p/DC1ekejyJjv/,39.066,57138.0,27143,voice
3556436116859858978,"2025 is the year of ✨ alignment ✨. Setting goals, taking care of myself, and making moves. If you see me thriving, just know it started with hydration. @liquidiv
What’s your top priority for 2025? #OwnYourRitual #LiquidIVPartner",83,"new year, same hydration👏🏻",OwnYourRitual,LiquidIVPartner,,https://www.instagram.com/reel/DFa_84zzTAi/,-1,lilmiquela,3043897039095332.0,Original audio,True,Miquela,3089598226,lilmiquela,,2025-01-29T20:00:14.000Z,https://www.instagram.com/p/DFa_84zzTAi/,55.169,236912.0,45585,voice
3522181478908256788,"Zinn @plusticboy needs a digital detox!
But… is it really my place as a virtual being to say that?
But I do it too…

But he’s been stuck in the woods forever… 🙁

zinn @plusticboy はデジタルデトックスした方がいい！
ってバーチャルのあたしが言うことじゃない？？
いやううん。
あたしはよくデジデトするもん。してるもん。
でもあいつ森の中でずっと、、、、、🙁
ふぅ

#digitaldetox #virtualhuman #digitalhumak #imma #デジタルデトックス",17,威力すごいね？,digitaldetox,virtualhuman,digitalhumak,https://www.instagram.com/reel/DDhTWTMyWIU/,-1,imma.gram,1992636151212478.0,Original audio,True,imma,8192084717,imma.gram,,2024-12-13T13:34:04.000Z,https://www.instagram.com/p/DDhTWTMyWIU/,87.841,42230.0,20347,voice
3579646991695375571,"Glam is glam-ing, @liquidiv is hydrating, and the Oscars are calling. #OwnYourRitual #LiquidIVPartner",59,Ethereal beauty… like a dream you never want to wake up from ✨,OwnYourRitual,LiquidIVPartner,,https://www.instagram.com/reel/DGtdfkhTGzT/,-1,lilmiquela,1149001513302522.0,Original audio,True,Miquela,3089598226,lilmiquela,,2025-03-02T20:34:52.000Z,https://www.instagram.com/p/DGtdfkhTGzT/,51.2,66956.0,23671,voice+music
3514815808478445498,"POV when you get mugged in the modern age 😤
What would you do in this situation?
Got better ideas ? 

みんな、カツアゲにあったらどうしてる？🤨💭💥
もっといい対策とかあったら教えて〜",19,Bravo 👏,,,,https://www.instagram.com/reel/DDHIlsDSP-6/,-1,imma.gram,1083164593511786.0,Original audio,True,imma,8192084717,imma.gram,,2024-12-03T09:40:37.000Z,https://www.instagram.com/p/DDHIlsDSP-6/,66.399,38182.0,12196,voice
3372325236736224799,"My gaming era has been starting to a strong start thanks to my new QD- OLED #msigaming monitor. #msigoborderless 
Tell me, are you a PC 🖥️ or a Console gamer 🎮 ?",55,😍😍,msigaming,msigoborderless,,https://www.instagram.com/reel/C7M5-96v24f/,-1,lilmiquela,3861185010780481.5,Original audio,True,Miquela,3089598226,lilmiquela,,2024-05-20T19:20:14.000Z,https://www.instagram.com/p/C7M5-96v24f/,16.566,95611.0,30190,voice+music
